Pcode,Locality,State,Comments,DeliveryOffice,PreSortIndicator,ParcelZone,BSPnumber,BSPname,Category
862,RENNER SPRINGS,NT,,TENNANT CREEK LPO,87,NT1,45,SA CITY SUBS,Delivery Area
862,TABLELANDS,NT,,TENNANT CREEK LPO,87,NT1,45,SA CITY SUBS,Delivery Area
862,TENNANT CREEK,NT,PO BAGS,TENNANT CREEK LPO,87,NT1,45,SA CITY SUBS,Delivery Area
862,WARREGO,NT,,TENNANT CREEK LPO,87,NT1,45,SA CITY SUBS,Delivery Area
870,ALICE SPRINGS,NT,,ALICE SPRINGS DC,87,NT1,45,SA CITY SUBS,Delivery Area
870,ARALUEN,NT,,ALICE SPRINGS DC,87,NT1,45,SA CITY SUBS,Delivery Area
870,BRAITLING,NT,,ALICE SPRINGS DC,87,NT1,45,SA CITY SUBS,Delivery Area
870,CICCONE,NT,,ALICE SPRINGS DC,87,NT1,45,SA CITY SUBS,Delivery Area
870,DESERT SPRINGS,NT,,ALICE SPRINGS DC,87,NT1,45,SA CITY SUBS,Delivery Area
870,EAST SIDE,NT,,ALICE SPRINGS DC,87,NT1,45,SA CITY SUBS,Delivery Area
870,GILLEN,NT,,ALICE SPRINGS DC,87,NT1,45,SA CITY SUBS,Delivery Area
870,SADADEEN,NT,,ALICE SPRINGS DC,87,NT1,45,SA CITY SUBS,Delivery Area
870,STUART,NT,,ALICE SPRINGS DC,87,NT1,45,SA CITY SUBS,Delivery Area
